PLUS,McMullen,State,Locality,Name,Type,Found_Date,First_Ref,Latest_Ref,Cess_Date,ED_for_Size,Size_at_ED,LD_for_Size,Size_at_LD,card_image
1653,31043,VA,Front Royal,Front Royal Librarian Society,Socl,,1799,1799,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/31043.gif
1654,6639,VA,Harrisonburg,Rockingham Library Assoc.,Socl,1867,,1900,,1875,375,1875,375,https://library.princeton.edu/visual_materials/mcmullen/gif/06639.gif
1655,31045,VA,Harrisonburg,Rockingham Library Co.,Socl,1806,,1818,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/31045.gif
1656,31046,VA,Hillsborough (now Hillsboro),Hillsborough Library Co.,Socl,1815,,1825,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/31046.gif
1657,12858,VA,Lewisburg,Lewisburg Circ. Library,Socl,1822,,1823,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12858.gif
1658,6641,VA,Lexington,Franklin Society,Socl,1813,,1884,,1875,5000,1875,5000,https://library.princeton.edu/visual_materials/mcmullen/gif/06641.gif
1659,6642,VA,Lexington,Lexington Library Company,Socl,,1858,1858,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06642.gif
1660,6649,VA,Madison,Madison Library Assoc.,Socl,1842,,1850,,1850,353,1850,353,https://library.princeton.edu/visual_materials/mcmullen/gif/06649.gif
1661,6652,VA,Norfolk,Norfolk Library Assoc.,Socl,1870,,1884,,1875,3400,1875,3400,https://library.princeton.edu/visual_materials/mcmullen/gif/06652.gif
1662,6654,VA,Petersburg,Library Of Petersburg,Socl,1853,,1875,,1857,4700,1875,3519,https://library.princeton.edu/visual_materials/mcmullen/gif/06654.gif
1663,6657,VA,Portsmouth,Library Assoc.,Socl,,1858,1858,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06657.gif
1664,12868,VA,Richmond,Richmond Library,Socl,,1801,1827,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12868.gif
1665,6668,VA,Richmond,Richmond Library Assoc.,Socl,,1841,1858,,1850,1600,1850,1600,https://library.princeton.edu/visual_materials/mcmullen/gif/06668.gif
1666,31063,WV,Charleston,Charleston Library Co.,Socl,1830,,1830,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/31063.gif
1667,31067,WV,Charles Town,Charles Town Library Assoc.,Socl,1830,,1830,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/31067.gif
1668,31071,WV,Martinsburg,Matinsburg Library Society.,Socl,1826,,1826,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/31071.gif
1669,31073,WV,Morgantown,Morgantown Circulating Library Inc.,Socl,1814,,1814,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/31073.gif
1670,6700,WV,Harpers Ferry,The Library Soc. Of Harpers Ferry Inc.,Socl,1820,,1820,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06700.gif
1671,6701,WV,Lewisburg,The Lewisburg Circulating Library Co.,Socl,1823,,1823,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06701.gif
1672,6705,WV,Parkersburg,Parkersburg Library Assoc.,Socl,1844,,1858,,1850,360,1850,360,https://library.princeton.edu/visual_materials/mcmullen/gif/06705.gif
1673,6710,WV,Wheeling,Wheeling Library Assoc. Inc.,Socl,1859,,,1933,1875,5000,1875,5000,https://library.princeton.edu/visual_materials/mcmullen/gif/06710.gif
1674,6712,WV,Wheeling,Wheeling Library Co.,Socl,1807,,1813,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06712.gif
1675,12636,NC,Asheville,"Vance Circ. Library Society, Inc.",Socl,1829,,1829,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12636.gif
1676,12623,NC,Davidson County,"Abbott's Creek Library Society, Inc.",Socl,1825,,1825,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12623.gif
1677,12624,NC,Davidson County,"Sandy Creek Library Society, Inc.",Socl,1823,,1823,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12624.gif
1678,12625,NC,Edgecombe,,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12625.gif
1679,12637,NC,Fayetteville,Fayetteville Library Co.,Socl,1818,,1818,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12637.gif
1680,12638,NC,Fayetteville,Fayetteville Library,Socl,1844,,1844,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12638.gif
1681,12639,NC,Fayetteville,Fayetteville Library Society Inc.,Socl,1794,,1794,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12639.gif
1682,12640,NC,Fayeteville,Franklin Library Inst. Inc.,Socl,1840,,1840,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12640.gif
1683,12642,NC,Greensboro,"Library Society, Inc.",Socl,1825,,1825,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12642.gif
1684,12627,NC,Guilford,Richland Creek Library Society,Socl,1822,,1822,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12627.gif
1685,12626,NC,Guildford,1819 Alamance LibrarySociety,Socl,1819,,1819,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12626.gif
1686,12643,NC,Hillsboro,1822 Franklin Library Society Inc.,Socl,1822,,1825,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12643.gif
1687,12644,NC,Hookerton,"Library Society, Inc.",Socl,1827,,1827,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12644.gif
1688,12645,NC,Hookerton,"1833 Library Society., Inc.",Socl,1833,,1833,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12645.gif
1689,4878,NC,Iredell Co.,Circulating Library,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/04878.gif
1690,12628,NC,Iredell Co.,1821 Union Library Society,Socl,1821,,1821,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12628.gif
1691,4881,NC,Lenoir,Pioneer Library,Socl,1875,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/04881.gif
1692,12646,NC,Lenoir,United Brothers Library Society,Socl,1831,,1831,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12646.gif
1693,12629,NC,Lincoln County,1818 Buffalo Library Society,Socl,1818,,1818,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12629.gif
1694,4882,NC,Rowan Cty,A circulating Library,Socl,1789,,1789,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/04882.gif
1695,4883,NC,Mecklenburg,Mecklenburg Circulating Library,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/04883.gif
1696,12630,NC,Mecklenburg,New Providence Library Co.,Socl,1823,,1823,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12630.gif
1697,12647,NC,Nazareth,Guildford Co.,Socl,1827,,1827,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12647.gif
1698,4887,NC,Newbern,Newbern LibrarySociety,Socl,1803,,1823,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/04887.gif
1699,12648,NC,New Garden,Lib. Soc'y Inc.,Socl,,1827,,1827,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12648.gif
1700,12649,NC,New Salem,1819 New Salem Library Society Inc.,Socl,1819,,1819,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12649.gif
1701,12632,NC,Person County,Person Library Company Inc.,Socl,1815,,1815,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12632.gif
1702,12652,NC,Raleigh,Polemic Society,Socl,1808,,1821,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12652.gif
1703,12654,NC,Raleigh,Raleigh Library Co. Inc.,Socl,1815,,1816,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12654.gif
1704,12634,NC,Randolph Co.,"Ebenezer Library Society, Inc.",Socl,1826,,1826,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12634.gif
1705,12633,NC,Randolph,Carraway Library Society Inc.,Socl,1820,,1820,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12633.gif
1706,12635,NC,Stokes Co.,Clinton Library Society Inc.,Socl,1824,,1824,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12635.gif
1707,12656,NC,Williamsboro,Franklin Library Society,Socl,1799,,1799,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12656.gif
1708,12657,NC,Williamston,"Library Assoc., Inc.",Socl,1848,,1848,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12657.gif
1709,12658,NC,Wilmington,Cape Fear Library,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12658.gif
1710,4907,NC,Wilmington,Library Assoc.,Socl,1855,,1884,,1875,2500,1875,2500,https://library.princeton.edu/visual_materials/mcmullen/gif/04907.gif
1711,6265,SC,Georgetown,Winyaw Indigo Society,Socl,1800,,1884,,,2000,1875,2000,https://library.princeton.edu/visual_materials/mcmullen/gif/06265.gif
1712,6268,SC,Greenville Co.,Fork Shoals Library Soc.,Socl,1822,,1822,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06268.gif
1713,6270,SC,Greenville,Greenville Library Society,Socl,1839,,1875,,1875,500,1875,500,https://library.princeton.edu/visual_materials/mcmullen/gif/06270.gif
1714,6272,SC,Greenwood,Greenword Library,Socl,1847,,1858,,1858,900,1858,900,https://library.princeton.edu/visual_materials/mcmullen/gif/06272.gif
